date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:22:06	65316/65316	---M--	200	added ('OK')	font/woff2	etag:%22ff24-59b82231238de%22	http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.woff2	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.woff2	(from http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/css/all.min.css)
22:22:11	76344/76344	---M--	200	added ('OK')	font/woff	etag:%2212a38-59b8223122949%22	http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.woff	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.woff	(from http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/css/all.min.css)
22:22:11	648265/648265	---M--	200	added ('OK')	image/svg+xml	etag:%229e449-59b822311e70e%22	http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.svg	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.svg	(from http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/css/all.min.css)
22:22:13	118560/118560	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221cf20-59b822311d779%22	http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.eot	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.eot	(from http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/css/all.min.css)
22:22:16	14868/14868	---M--	200	added ('OK')	font/woff2	etag:%223a14-59b82231282e3%22	http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.woff2	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.woff2	(from http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/css/all.min.css)
22:22:18	118560/118560	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221cf20-59b822311d779%22	http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.eot?	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400d41d.eot	(from http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/css/all.min.css)
22:22:19	40576/40576	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%229e80-59b822312448e%22	http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.eot	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.eot	(from http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/css/all.min.css)
22:22:21	18168/18168	---M--	200	added ('OK')	font/woff	etag:%2246f8-59b8223127734%22	http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.woff	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.woff	(from http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/css/all.min.css)
22:22:21	142267/142267	---M--	200	added ('OK')	image/svg+xml	etag:%2222bbb-59b8223125423%22	http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.svg	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.svg	(from http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/css/all.min.css)
22:22:24	40576/40576	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%229e80-59b822312448e%22	http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.eot?	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400d41d.eot	(from http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/css/all.min.css)
22:22:26	40348/40348	---M--	200	added ('OK')	font/ttf	etag:%229d9c-59b822312679e%22	http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.ttf	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.ttf	(from http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/css/all.min.css)
22:22:27	118324/118324	---M--	200	added ('OK')	font/ttf	etag:%221ce34-59b8223120e03%22	http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.ttf	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.ttf	(from http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/css/all.min.css)
22:22:35	67400/67400	---M--	200	added ('OK')	font/woff2	etag:%2210748-59b8223130373%22	http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.woff2	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.woff2	(from http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/css/all.min.css)
22:22:41	86876/86876	---M--	200	added ('OK')	font/woff	etag:%221535c-59b822312eff9%22	http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.woff	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.woff	(from http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/css/all.min.css)
22:22:41	680510/680510	---M--	200	added ('OK')	image/svg+xml	etag:%22a623e-59b822312adbe%22	http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.svg	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.svg	(from http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/css/all.min.css)
22:22:43	350/350	---M--	302	error ('Found')	text/html	date:Fri,%2011%20Sep%202020%2021:22:46%20GMT	http://192.168.1.188/profile	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/profile	(from http://192.168.1.188/login)
22:22:44	8053/8053	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202020%2021:22:47%20GMT	http://192.168.1.188/password/reset	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/password/reset.html	(from http://192.168.1.188/login)
22:22:45	350/350	---M--	302	error ('Found')	text/html	date:Fri,%2011%20Sep%202020%2021:22:48%20GMT	http://192.168.1.188/profile	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/profile	(from http://192.168.1.188/register)
22:22:45	1552/1552	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2021:22:49%20GMT	http://192.168.1.188/argon/img/icons/common/facebook.svg	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/img/icons/common/facebook.svg	(from http://192.168.1.188/register)
22:22:45	2216/2216	---M--	200	added ('OK')	image/svg+xml	etag:%228a8-59b8222d3a533%22	http://192.168.1.188/argon/img/icons/common/google.svg	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/img/icons/common/google.svg	(from http://192.168.1.188/register)
22:22:51	180720/180720	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222c1f0-59b8223129279%22	http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.eot	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.eot	(from http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/css/all.min.css)
22:22:54	180720/180720	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222c1f0-59b8223129279%22	http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.eot?	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900d41d.eot	(from http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/css/all.min.css)
22:22:56	180500/180500	---M--	200	added ('OK')	font/ttf	etag:%222c114-59b822312d4b3%22	http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.ttf	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.ttf	(from http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/css/all.min.css)
22:22:57	350/350	---M--	302	error ('Found')	text/html	date:Fri,%2011%20Sep%202020%2021:23:01%20GMT	http://192.168.1.188/profile	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/profile.26.delayed	(from http://192.168.1.188/password/reset)
